unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,KNA,Saint Kitts and Nevis,DTP3,96,96,96,99,97,98,98,98,94,98,97,98,98,96,98,99,99,99,99,96,99,97,99,99
LACR,LCA,Saint Lucia,DTP3,74,81,80,86,92,95,80,95,99,99,99,98,99,97,95,96,99,85,95,91,90,74,99,70
LACR,VCT,Saint Vincent and the Grenadines,DTP3,94,99,92,97,97,97,99,99,99,98,97,96,96,99,99,99,99,99,99,99,99,99,99,98
EAPR,WSM,Samoa,DTP3,83,76,85,89,68,44,67,74,80,78,84,82,82,78,64,39,65,50,59,63,90,92,90,98
Non-programme,SMR,San Marino,DTP3,91,92,90,89,88,90,88,86,85,84,86,89,92,90,90,91,91,92,96,95,96,96,97,98
WCAR,STP,Sao Tome and Principe,DTP3,86,92,97,96,95,95,95,96,96,95,97,96,96,98,98,99,97,97,97,96,94,92,92,82
MENA,SAU,Saudi Arabia,DTP3,97,98,97,95,96,96,98,98,98,98,98,98,98,98,98,98,96,96,96,96,95,95,97,95
WCAR,SEN,Senegal,DTP3,83,93,90,95,96,92,93,93,89,89,92,91,92,89,86,88,94,89,84,87,73,60,52,52
ECAR,SRB,Serbia,DTP3,93,92,91,92,97,96,95,92,95,93,95,91,94,91,95,95,94,92,98,88,89,95,93,95
Non-programme,SYC,Seychelles,DTP3,97,97,94,97,99,99,97,96,97,99,98,98,99,99,99,99,99,99,99,99,99,99,96,98
WCAR,SLE,Sierra Leone,DTP3,91,91,92,91,95,93,90,84,86,83,92,91,89,86,84,77,64,64,65,65,73,53,38,44
Non-programme,SGP,Singapore,DTP3,98,97,98,98,97,97,96,97,96,96,97,97,96,96,97,97,97,95,96,95,96,94,96,98
Non-programme,SVK,Slovakia,DTP3,96,97,97,97,97,96,96,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,SVN,Slovenia,DTP3,89,89,86,95,95,93,94,94,95,95,95,96,96,96,96,97,97,97,95,94,95,93,92,91
EAPR,SLB,Solomon Islands,DTP3,84,89,87,94,94,85,83,94,87,77,83,92,91,83,86,85,88,99,89,90,84,78,84,86
ESAR,SOM,Somalia,DTP3,42,42,42,42,42,42,42,42,42,42,42,42,41,45,42,31,40,26,35,30,40,40,33,33
ESAR,ZAF,South Africa,DTP3,79,85,86,84,85,82,84,85,85,85,81,71,75,77,81,82,85,84,81,74,69,70,71,73
ESAR,SSD,South Sudan,DTP3,73,73,69,67,61,59,52,45,46,50,53,63,61,,,,,,,,,,,
Non-programme,ESP,Spain,DTP3,93,93,92,94,95,96,95,97,97,97,96,96,97,97,96,97,96,98,96,97,98,98,96,95
ROSA,LKA,Sri Lanka,DTP3,99,98,96,96,99,99,99,99,99,99,99,99,99,99,97,98,98,98,99,97,99,98,98,99
MENA,PSE,State of Palestine,DTP3,88,98,95,98,99,99,99,99,99,99,99,97,99,99,97,96,99,96,96,96,98,97,97,93
MENA,SDN,Sudan,DTP3,51,68,84,90,93,93,95,93,93,94,93,92,93,90,81,86,84,78,78,74,69,60,66,62
LACR,SUR,Suriname,DTP3,72,77,72,51,77,81,67,77,73,71,76,76,80,94,87,85,84,84,83,85,75,73,68,71
Non-programme,SWE,Sweden,DTP3,94,94,98,97,98,97,97,98,98,97,98,98,98,98,98,98,98,98,98,99,99,99,99,99
Non-programme,CHE,Switzerland,DTP3,95,96,96,96,96,96,96,96,96,96,96,96,96,95,95,95,94,94,94,93,93,93,93,93
MENA,SYR,Syrian Arab Republic,DTP3,66,59,61,62,67,60,61,55,54,56,54,58,72,80,80,79,80,80,80,81,83,84,82,84
ECAR,TJK,Tajikistan,DTP3,96,97,97,97,97,96,96,96,96,97,96,94,96,93,93,86,86,83,84,86,85,85,85,83
EAPR,THA,Thailand,DTP3,92,92,92,97,97,97,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,96,96,97
EAPR,TLS,Timor-Leste,DTP3,83,83,83,83,83,83,83,79,76,77,82,83,67,72,72,79,70,63,55,57,55,54,,
WCAR,TGO,Togo,DTP3,85,82,83,82,84,81,83,82,82,84,84,84,85,83,78,81,82,84,82,71,72,59,50,64
EAPR,TON,Tonga,DTP3,99,99,99,99,99,99,99,96,96,98,99,95,99,99,99,99,99,99,99,99,98,90,94,95
LACR,TTO,Trinidad and Tobago,DTP3,96,93,94,96,93,99,89,97,96,92,92,92,90,90,90,90,88,92,95,94,91,96,91,90
MENA,TUN,Tunisia,DTP3,97,97,97,97,98,97,98,98,98,98,98,97,98,98,99,99,98,99,98,97,95,96,98,97
ECAR,TUR,Turkiye,DTP3,99,99,95,98,99,98,96,98,97,96,98,97,97,97,96,96,96,90,90,85,68,78,88,85
ECAR,TKM,Turkmenistan,DTP3,98,98,97,98,99,99,99,98,99,98,98,97,97,96,96,96,98,98,99,97,83,98,95,97
EAPR,TUV,Tuvalu,DTP3,94,91,94,95,92,89,96,94,96,89,90,97,96,89,88,99,97,97,93,98,93,98,96,82
ESAR,UGA,Uganda,DTP3,91,89,91,89,93,93,94,93,89,85,84,83,82,80,79,71,73,64,64,62,59,57,55,52
ECAR,UKR,Ukraine,DTP3,83,73,78,81,80,69,50,19,23,23,76,76,50,52,71,90,98,98,96,99,97,99,99,99
MENA,ARE,United Arab Emirates,DTP3,96,96,96,90,99,99,97,99,99,99,98,96,95,94,93,92,92,92,94,94,94,94,94,94
Non-programme,GBR,United Kingdom,DTP3,92,92,93,93,93,94,94,94,95,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91
ESAR,TZA,United Republic of Tanzania,DTP3,93,93,86,91,91,89,90,92,96,97,91,92,90,91,85,86,83,90,90,95,95,89,87,79
Non-programme,USA,United States,DTP3,94,94,94,93,94,94,94,95,95,95,94,94,96,95,95,96,96,96,96,96,96,94,94,94
LACR,URY,Uruguay,DTP3,95,94,91,92,94,91,93,95,95,95,94,95,95,95,95,94,94,95,96,94,91,95,94,90
ECAR,UZB,Uzbekistan,DTP3,99,99,98,95,96,98,99,99,99,99,99,99,99,99,98,98,96,96,99,99,98,99,99,99
EAPR,VUT,Vanuatu,DTP3,72,68,62,78,90,85,85,81,80,86,84,82,79,77,75,73,70,68,68,69,69,70,70,71
LACR,VEN,Venezuela (Bolivarian Republic of),DTP3,54,43,56,54,64,60,66,84,87,78,82,81,78,78,84,50,62,71,87,86,68,65,70,77
EAPR,VNM,Viet Nam,DTP3,65,91,83,94,89,75,94,96,97,95,59,97,95,93,96,93,92,94,95,96,99,75,96,96
MENA,YEM,Yemen,DTP3,46,58,56,57,60,54,59,63,63,70,71,67,69,76,76,78,79,78,79,72,61,65,73,74
ESAR,ZMB,Zambia,DTP3,80,82,91,84,88,90,94,95,90,86,79,78,81,83,94,87,80,81,82,83,83,84,85,85
ESAR,ZWE,Zimbabwe,DTP3,90,90,88,86,90,89,89,90,87,91,95,95,93,89,73,75,73,70,68,65,68,71,75,78
