unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,NRU,Nauru,MCV1,98,98,98,98,95,99,95,98,98,98,97,96,99,99,99,99,99,99,80,67,53,40,95,8
ROSA,NPL,Nepal,MCV1,93,90,90,87,92,91,90,83,85,88,88,86,88,86,90,79,81,85,74,73,75,71,71,71
Non-programme,NLD,Netherlands (Kingdom of the),MCV1,89,89,93,94,94,93,93,94,95,96,96,96,96,96,96,96,96,96,95,96,96,95,95,96
Non-programme,NZL,New Zealand,MCV1,89,90,91,91,92,92,93,92,93,93,92,92,93,91,89,86,79,82,82,83,84,84,85,85
LACR,NIC,Nicaragua,MCV1,85,93,83,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,84,93,98,99,86
WCAR,NER,Niger,MCV1,80,65,80,79,79,77,82,76,85,80,80,75,69,67,69,66,60,53,47,45,43,41,39,37
WCAR,NGA,Nigeria,MCV1,60,60,60,60,58,56,54,48,42,44,43,42,49,56,64,53,41,44,41,37,34,30,32,33
EAPR,NIU,Niue,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,86,99,99,99
ECAR,MKD,North Macedonia,MCV1,73,71,70,63,75,75,83,82,89,93,96,96,97,98,96,98,96,94,96,96,96,98,92,97
Non-programme,NOR,Norway,MCV1,96,96,97,97,97,96,96,96,95,94,93,94,93,93,93,93,92,92,90,89,86,87,90,88
MENA,OMN,Oman,MCV1,99,97,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,96,98,98,98,99,99,99
ROSA,PAK,Pakistan,MCV1,84,82,81,83,81,79,76,75,75,71,68,63,59,57,56,56,57,59,61,63,62,60,59,57
EAPR,PLW,Palau,MCV1,96,96,93,93,97,90,93,96,95,83,99,91,85,39,75,97,91,98,98,99,99,99,91,83
LACR,PAN,Panama,MCV1,78,87,92,80,97,98,98,95,93,90,92,98,97,97,96,96,95,95,99,97,95,95,95,97
EAPR,PNG,Papua New Guinea,MCV1,52,41,35,44,37,37,41,46,57,65,72,71,66,63,65,66,72,82,82,77,77,73,65,69
LACR,PRY,Paraguay,MCV1,83,54,68,80,87,93,92,85,78,84,88,88,91,93,91,91,91,91,91,91,91,86,90,92
LACR,PER,Peru,MCV1,84,74,78,77,85,86,88,89,92,89,85,94,96,94,91,92,92,93,77,85,95,95,97,97
EAPR,PHL,Philippines,MCV1,81,76,64,79,83,82,81,80,80,81,83,84,86,87,89,90,92,92,92,92,87,82,81,78
Non-programme,POL,Poland,MCV1,91,91,91,92,93,93,94,96,96,97,98,98,98,98,98,98,98,99,98,97,97,98,97,97
Non-programme,PRT,Portugal,MCV1,98,98,98,99,99,99,98,98,98,98,98,97,97,96,95,97,95,97,93,95,96,93,90,87
MENA,QAT,Qatar,MCV1,99,99,99,90,99,99,99,99,99,99,97,97,98,99,99,96,92,99,99,99,93,99,92,91
Non-programme,KOR,Republic of Korea,MCV1,97,97,98,98,98,98,97,98,98,99,99,99,99,98,93,92,92,99,99,99,96,97,96,95
ECAR,MDA,Republic of Moldova,MCV1,85,84,83,84,97,93,93,88,89,90,91,91,91,97,90,95,96,96,97,96,96,94,94,89
ECAR,ROU,Romania,MCV1,78,83,86,87,90,90,86,86,86,89,92,94,93,95,96,96,97,95,97,97,97,98,98,98
Non-programme,RUS,Russian Federation,MCV1,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,98,98,98,97,97
ESAR,RWA,Rwanda,MCV1,96,99,87,94,96,99,97,95,96,97,95,97,95,95,95,92,94,95,89,84,90,69,69,74
LACR,KNA,Saint Kitts and Nevis,MCV1,95,95,96,95,97,96,93,98,95,93,99,95,99,99,99,99,99,99,99,98,98,99,90,99
LACR,LCA,Saint Lucia,MCV1,85,81,77,89,96,86,87,99,97,99,99,99,91,95,99,99,94,94,94,95,90,98,89,88
LACR,VCT,Saint Vincent and the Grenadines,MCV1,90,99,96,99,99,99,99,99,99,99,99,94,97,99,99,99,99,99,97,99,94,99,98,96
EAPR,WSM,Samoa,MCV1,87,82,62,66,96,40,67,75,75,85,92,76,59,56,45,44,63,54,57,25,62,99,92,93
Non-programme,SMR,San Marino,MCV1,89,91,89,90,86,89,86,82,84,81,82,84,90,88,88,86,90,90,94,94,94,96,97,99
WCAR,STP,Sao Tome and Principe,MCV1,86,82,77,86,95,95,90,93,93,92,91,92,91,92,90,93,86,85,88,91,87,85,75,69
MENA,SAU,Saudi Arabia,MCV1,97,98,98,96,95,98,96,98,98,98,98,98,98,98,98,97,96,95,97,97,96,97,94,94
WCAR,SEN,Senegal,MCV1,76,76,76,80,86,86,90,93,80,80,84,83,84,81,79,77,84,80,74,57,60,54,48,48
ECAR,SRB,Serbia,MCV1,84,81,75,78,87,92,86,82,86,86,92,87,93,95,95,92,95,88,96,89,87,92,90,89
Non-programme,SYC,Seychelles,MCV1,93,98,94,97,99,96,99,97,98,99,97,98,99,99,97,99,99,99,99,99,99,98,95,97
WCAR,SLE,Sierra Leone,MCV1,90,90,87,87,93,87,80,85,78,80,85,86,84,82,80,73,60,65,71,76,73,62,50,37
Non-programme,SGP,Singapore,MCV1,97,96,96,97,96,97,95,95,95,95,95,95,95,95,95,95,95,95,96,95,93,94,95,96
Non-programme,SVK,Slovakia,MCV1,94,95,95,96,96,96,96,95,95,97,98,99,98,98,99,99,99,98,98,99,99,99,99,98
Non-programme,SVN,Slovenia,MCV1,95,96,95,94,94,93,93,92,94,94,94,95,96,95,95,96,96,96,94,94,94,93,94,95
EAPR,SLB,Solomon Islands,MCV1,68,90,67,81,81,93,84,82,75,76,76,87,77,74,69,71,90,99,87,87,82,78,83,91
ESAR,SOM,Somalia,MCV1,46,46,46,46,46,46,46,46,46,46,46,46,46,46,43,34,35,35,35,40,40,45,20,24
ESAR,ZAF,South Africa,MCV1,80,86,87,84,83,81,81,84,86,84,78,79,77,72,77,73,68,69,64,63,62,65,69,72
ESAR,SSD,South Sudan,MCV1,72,72,74,69,65,61,56,51,52,54,57,59,62,,,,,,,,,,,
Non-programme,ESP,Spain,MCV1,96,96,95,96,98,98,98,97,96,96,95,97,97,95,98,98,97,97,97,97,98,97,96,94
ROSA,LKA,Sri Lanka,MCV1,99,99,97,96,99,99,99,99,99,99,99,99,99,99,97,98,98,99,99,96,99,99,99,99
MENA,PSE,State of Palestine,MCV1,89,97,98,99,99,99,99,99,99,99,99,98,99,98,97,96,98,99,98,96,99,94,98,93
MENA,SDN,Sudan,MCV1,51,66,81,86,90,88,90,86,87,86,85,85,87,90,82,79,79,73,69,67,65,58,58,58
LACR,SUR,Suriname,MCV1,71,74,58,45,64,77,76,76,76,70,81,64,79,87,88,86,85,83,91,86,69,73,82,84
Non-programme,SWE,Sweden,MCV1,93,92,97,97,97,97,97,97,98,97,97,98,97,97,97,96,96,97,96,96,95,95,94,91
Non-programme,CHE,Switzerland,MCV1,95,96,95,97,95,95,95,94,94,94,93,93,93,92,92,92,87,87,87,82,82,82,82,82
MENA,SYR,Syrian Arab Republic,MCV1,74,52,70,70,76,74,78,73,64,65,69,72,80,82,82,81,81,81,81,82,83,84,80,84
ECAR,TJK,Tajikistan,MCV1,98,98,97,98,98,98,98,97,97,98,97,97,98,94,89,86,85,82,85,92,91,89,88,88
